,City,Cloudiness(%),Country,Date in Unix,Humidity(%),Latitude,Longitude,Max Temp (°F),Wind Speed in MPH
0,Lompoc,90,US,1566714891,100,34.64,-120.46,64.4,4.72
1,Ushuaia,0,AR,1566714761,86,-54.81,-68.31,39.2,9.17
2,Provideniya,76,RU,1566714794,63,64.42,-173.23,53.5,4.16
3,Bredasdorp,0,ZA,1566715087,76,-34.53,20.04,61.0,2.24
4,Busselton,0,AU,1566714827,31,-33.64,115.35,66.0,1.43
5,Punta Arenas,0,CL,1566714774,87,-53.16,-70.91,37.4,14.99
6,Fengzhen,0,CN,1566715182,32,40.43,113.15,76.18,8.55
7,Berdigestyakh,17,RU,1566715183,52,62.1,126.7,67.9,6.58
8,Ponta do Sol,0,BR,1566714756,80,-20.63,-46.0,54.94,5.37
9,Chachapoyas,4,PE,1566715186,91,-6.23,-77.87,47.92,3.49
10,Gravdal,96,NO,1566715187,82,59.79,5.78,68.0,11.41
11,Yellowknife,20,CA,1566714722,87,62.45,-114.38,50.0,3.36
12,Hermanus,3,ZA,1566714831,80,-34.42,19.24,61.0,8.01
13,Homer,1,US,1566714901,81,59.64,-151.54,52.0,10.56
14,San Quintin,84,PH,1566715191,73,17.54,120.52,85.54,10.87
15,Port Alfred,0,ZA,1566715131,53,-33.59,26.89,69.01,3.0
16,Albany,90,US,1566714602,72,42.65,-73.75,63.0,6.93
17,Nikolskoye,0,RU,1566714853,87,59.7,30.79,63.0,6.71
18,Hamilton,40,CA,1566714898,82,43.26,-79.87,63.0,5.82
19,Narsaq,0,GL,1566715197,31,60.91,-46.05,50.0,14.99
20,Geraldton,20,CA,1566715198,87,49.72,-86.95,50.0,5.82
21,Kapaa,75,US,1566714967,74,22.08,-159.32,82.4,19.46
22,Barrow,34,AR,1566715089,83,-38.31,-60.23,51.16,13.58
23,Kununurra,50,AU,1566715201,7,-15.77,128.74,93.2,6.93
24,Kastamonu,0,TR,1566715203,52,41.38,33.78,70.6,2.86
25,Ciro Marina,0,IT,1566715204,61,39.37,17.13,78.8,8.05
26,Ribeira Grande,20,PT,1566714819,72,38.52,-28.7,68.0,10.29
27,Mayo,40,CA,1566715206,57,63.59,-135.9,51.8,3.36
28,Upernavik,100,GL,1566714856,64,72.79,-56.15,43.06,8.28
29,Los Llanos de Aridane,0,ES,1566715208,83,28.66,-17.92,73.4,14.99
30,Vermilion,40,CA,1566715210,82,53.35,-110.85,57.2,6.93
31,Havelock,75,US,1566715211,83,34.88,-76.9,73.4,11.41
32,Rikitea,82,PF,1566714773,66,-23.12,-134.97,70.78,19.84
33,Bluff,12,AU,1566714779,37,-23.58,149.07,74.02,3.62
34,Atar,10,MR,1566715214,52,20.52,-13.05,77.98,10.2
35,Canon City,1,US,1566715215,36,39.46,-117.13,62.6,3.36
36,Raudeberg,100,NO,1566715217,87,61.99,5.14,62.01,13.87
37,Yerbogachen,100,RU,1566715218,51,61.28,108.01,67.9,6.17
38,Ixtapa,75,MX,1566715220,79,20.71,-105.21,84.99,6.93
39,Ilheus,40,BR,1566714964,94,-14.79,-39.05,69.8,5.82
40,Katsuura,75,JP,1566714833,52,33.93,134.5,87.8,8.05
41,Hobart,75,AU,1566714603,53,-42.88,147.33,51.8,8.05
42,Mecca,0,SA,1566714966,39,21.43,39.83,92.92,10.22
43,Jamestown,94,AU,1566714813,56,-33.21,138.6,49.9,7.99
44,Dunedin,100,NZ,1566715227,82,-45.87,170.5,48.99,1.01
45,Mataura,100,NZ,1566714805,93,-46.19,168.86,46.99,2.46
46,Touros,40,BR,1566715100,94,-5.2,-35.46,71.6,4.7
47,Airai,26,TL,1566714781,48,-8.93,125.41,82.12,5.55
48,Butaritari,44,KI,1566714829,69,3.07,172.79,85.18,7.11
49,Biltine,95,TD,1566715232,79,14.53,20.93,77.8,2.3
50,Khatanga,59,RU,1566715234,83,71.98,102.47,55.66,4.79
51,Tuktoyaktuk,90,CA,1566714974,87,69.44,-133.03,44.6,20.8
52,Cidreira,68,BR,1566715236,79,-30.17,-50.22,56.74,10.71
53,East London,0,ZA,1566714971,26,-33.02,27.91,71.6,6.93
54,Bosobolo,100,CD,1566715238,97,4.19,19.88,70.24,3.44
55,Coahuayana,62,MX,1566715239,93,18.62,-100.35,72.04,2.66
56,Kruisfontein,0,ZA,1566715241,77,-34.0,24.73,57.1,6.55
57,Itaqui,15,BR,1566715242,94,-29.13,-56.55,54.76,7.85
58,Cabo San Lucas,20,MX,1566715222,78,22.89,-109.91,81.0,5.1
59,Henties Bay,0,NA,1566715244,60,-22.12,14.28,62.01,7.23
60,Douglas,90,US,1566715245,93,58.28,-134.39,53.6,5.82
61,Bontang,80,ID,1566714977,69,0.12,117.47,86.08,4.97
62,Susuman,73,RU,1566715248,50,62.78,148.15,61.78,10.07
63,Bambous Virieux,40,MU,1566714826,78,-20.34,57.76,75.2,12.75
64,Sao Joao Evangelista,13,BR,1566715250,97,-18.55,-42.76,57.1,1.43
65,Esperance,100,AU,1566715242,58,-33.86,121.89,57.2,6.93
66,Hay River,90,CA,1566715252,100,60.82,-115.79,50.0,4.7
67,Villacarrillo,0,ES,1566715253,69,38.12,-3.08,64.12,1.77
68,Flinders,90,AU,1566715254,66,-34.58,150.85,62.01,9.17
69,Hofn,92,IS,1566715256,71,64.25,-15.21,38.02,3.13
70,Padang,100,ID,1566715257,80,-0.92,100.36,80.5,13.69
71,Vardo,90,US,1566715104,77,39.62,-77.74,64.4,6.93
72,Brae,75,GB,1566715259,93,60.4,-1.35,57.2,5.82
73,Sungaipenuh,96,ID,1566715260,67,-2.08,101.38,83.92,5.88
74,Pisco,90,PE,1566715261,82,-13.71,-76.2,61.0,4.7
75,Fortuna,1,US,1566715182,93,40.6,-124.16,57.0,3.36
76,Port Elizabeth,1,US,1566715264,93,39.31,-74.98,66.99,4.99
77,Mbandaka,100,CD,1566715265,93,0.05,18.26,70.24,3.87
78,Acapulco,20,MX,1566715266,88,16.86,-99.88,82.4,2.24
79,Poum,0,MK,1566715267,61,41.28,20.71,68.08,3.18
80,Saint Anthony,1,US,1566714864,28,43.97,-111.68,72.0,10.29
81,Bassano del Grappa,0,IT,1566715270,83,45.77,11.73,78.01,2.24
82,New Norfolk,75,AU,1566714793,53,-42.78,147.06,51.8,8.05
83,Faya,0,SA,1566715272,33,18.39,42.45,78.8,4.7
84,Yumen,100,CN,1566715273,15,40.29,97.04,84.64,19.39
85,Lubango,63,AO,1566715274,29,-14.92,13.49,64.3,2.13
86,Tabuk,90,PH,1566715276,91,17.41,121.44,73.66,3.69
87,Clyde River,99,CA,1566714763,71,70.47,-68.59,43.6,3.98
88,Ossora,95,RU,1566715278,78,59.24,163.07,57.64,5.46
89,Arraial do Cabo,89,BR,1566715279,81,-22.97,-42.02,66.64,5.68
90,Souillac,90,FR,1566715280,88,45.6,-0.6,66.2,3.36
91,Omboue,97,GA,1566715281,86,-1.57,9.26,74.74,5.44
92,Beloha,3,MG,1566715283,64,-25.17,45.06,70.6,11.39
93,Virovitica,90,HR,1566715284,77,45.83,17.39,68.0,5.82
94,Troitsko-Pechorsk,100,RU,1566715286,80,62.71,56.19,52.78,8.5
95,Vaini,40,IN,1566714769,69,15.34,74.49,78.8,11.41
96,Norman Wells,20,CA,1566714802,88,65.28,-126.83,33.8,3.36
97,Dikson,97,RU,1566715133,97,73.51,80.55,40.54,10.27
98,Avarua,89,CK,1566714801,83,-21.21,-159.78,77.0,8.05
99,Abnub,0,EG,1566715292,30,27.27,31.15,88.42,8.08
100,Faanui,0,PF,1566714808,68,-16.48,-151.75,78.34,9.35
